d1,d2,d3,d4,display,d1_raw,d2_raw,d3_raw,d4_raw,d1_rank_score,d2_rank_score,d3_rank_score,d4_rank_score,composite_geo
0.64,0.698140734181973,0.6410173766283754,0.6864076799005596,LARIS,0.64,0.698140734181973,0.6410173766283754,0.6864076799005596,0.65,1.0,0.9,0.8,0.8271065560491483
0.68,0.4345527749668284,0.3636401989659101,0.6923058249483184,stCASE,0.68,0.4345527749668284,0.3636401989659101,0.6923058249483184,0.8,0.7,0.8,0.9,0.7968565207460511
0.64,0.1641101629954042,0.9440448058006988,0.5764665039437153,LIANA,0.64,0.1641101629954042,0.9440448058006988,0.5764665039437153,0.65,0.5,1.0,0.5,0.6349117162369328
0.48,0.5453280794361829,0.1531035324680863,0.7303154501774868,COMMOT,0.48,0.5453280794361829,0.1531035324680863,0.7303154501774868,0.35,0.8,0.4,1.0,0.5785015217038155
1.0,0.1864286492958587,0.1750666004164822,0.5362251101000307,StereoSiTE,1.0,0.1864286492958587,0.1750666004164822,0.5362251101000307,1.0,0.6,0.5,0.3,0.5477225575051662
0.36,0.6348664465982535,0.3380011024330235,0.6003357393452776,SpaCcLink,0.36,0.6348664465982535,0.3380011024330235,0.6003357393452776,0.2,0.9,0.7,0.7,0.5449631621480024
0.84,0.1344978019049607,0.3058196995023393,0.5467764019516417,Spacia,0.84,0.1344978019049607,0.3058196995023393,0.5467764019516417,0.9,0.4,0.6,0.4,0.5421612021659069
0.6,-0.0086054056869041,0.0231976674111929,0.5165132773195737,SPIDER,0.6,-0.0086054056869041,0.0231976674111929,0.5165132773195737,0.5,0.2,0.2,0.2,0.25148668593658713
0.48,0.0130565566361541,0.0610657938032503,0.5048784280764697,stLearn,0.48,0.0130565566361541,0.0610657938032503,0.5048784280764697,0.35,0.3,0.3,0.1,0.23690686102687933
0.24,-0.0162172466921287,0.0140364163876607,0.5980971857031879,CellAgentChat,0.24,-0.0162172466921287,0.0140364163876607,0.5980971857031879,0.1,0.1,0.1,0.6,0.15650845800732874
